Date,Open,High,Low,Close,Adj Close,Volume
2020-03-26,1.088755,1.102548,1.087654,1.088957,1.088957,0
2020-03-27,1.104618,1.108647,1.095518,1.104826,1.104826,0
2020-03-30,1.113536,1.113784,1.101225,1.113908,1.113908,0
2020-03-31,1.102840,1.104362,1.092968,1.103047,1.103047,0
2020-04-01,1.102816,1.103753,1.091870,1.102657,1.102657,0
2020-04-02,1.095098,1.096299,1.084434,1.095362,1.095362,0
2020-04-03,1.084387,1.085894,1.077620,1.084740,1.084740,0
2020-04-06,1.080824,1.083435,1.076925,1.080696,1.080696,0
2020-04-07,1.080194,1.092335,1.079140,1.080380,1.080380,0
2020-04-08,1.089431,1.089621,1.083177,1.089514,1.089514,0
2020-04-09,1.086118,1.094355,1.084180,1.086366,1.086366,0
2020-04-10,1.092598,1.095410,1.092108,1.092741,1.092741,0
2020-04-13,1.093135,1.096852,1.089360,1.093267,1.093267,0
2020-04-14,1.091953,1.098394,1.091572,1.092299,1.092299,0
2020-04-15,1.098237,1.098901,1.085765,1.098539,1.098539,0
2020-04-16,1.090382,1.090774,1.082966,1.090510,1.090510,0
2020-04-17,1.086012,1.089325,1.081268,1.085847,1.085847,0
2020-04-20,1.086626,1.089704,1.084305,1.086697,1.086697,0
2020-04-21,1.086354,1.087997,1.081795,1.086484,1.086484,0
2020-04-22,1.085741,1.088317,1.082427,1.085647,1.085647,0
2020-04-23,1.080684,1.084399,1.075836,1.080964,1.080964,0
2020-04-24,1.077633,1.081771,1.072766,1.077702,1.077702,0
2020-04-27,1.082368,1.086036,1.081221,1.082368,1.082368,0
2020-04-28,1.082720,1.088969,1.081128,1.082485,1.082485,0
2020-04-29,1.083236,1.087429,1.083166,1.083658,1.083658,0
2020-04-30,1.087666,1.096996,1.083565,1.087725,1.087725,0
2020-05-01,1.094475,1.101625,1.093542,1.094547,1.094547,0
2020-05-04,1.095746,1.095782,1.090132,1.095963,1.095963,0
2020-05-05,1.090453,1.092132,1.082696,1.090429,1.090429,0
2020-05-06,1.084011,1.084481,1.078423,1.083858,1.083858,0
2020-05-07,1.080054,1.081572,1.076751,1.079855,1.079855,0
2020-05-08,1.083694,1.087335,1.081631,1.083717,1.083717,0
